,subject,reward,discipline,audience
0,bostrom1xszmhkfjs3s00z2nvtn7evqxw3dtus6yr8e4pw,115880796057845,cybercongress,cybercongress
1,bostrom16230lc9r27vrxlzd4wlvcz2l66quzj84vlkxc5,10000000000000,inventors,inventors
2,bostrom1gxhs5wzam5rlgf6cs0lkme400ut64d4ncpfs2h,10000000000000,inventors,inventors
3,bostrom1qs9w7ry45axfxjgxa4jmuhjthzfvj78sxh5p6e,700000000000000,gift,gift
4,bostrom1ha4pw9w2qgc2ce9jwfrwrmaft5fneus58nqwev,50000000000000,greatweb_foundation,cyberpunks
5,bostrom1qn8sr2hzmktlecusdtxj9hwj0upnm0jft9snar,4000000000000,investors.genesis,investors
6,bostrom1d8754xqa9245pctlfcyv8eah468neqzn3a0y0t,360000000000,investors.genesis,investors
7,bostrom1ttd4h585vgy29gj0xe0p338drvw9w4m4hzwj9p,4000000000000,investors.genesis,investors
8,bostrom1ngd5w7j4u5ar5xh7vzuwqqznnhhcjmnz0s6kpu,1000000000000,investors.genesis,investors
9,bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,1000000000000,grants.init_implementation,hackers
10,bostrom1jv65s3grqf6v6jl3dp4t6c9t9rk99cd8yvs0hc,50726497621325,cybersenate,cybersenate
11,bostrom1pntx8ql2v7cqxu05etg8c4v0r2vz7qnq9uqmpy,4000000000000,investors.genesis,investors
12,bostrom17a7xxqa4drnalvv7pkxrkxqer953fdke3ulwx4,1000000000000,investors.genesis,investors
13,bostrom1s4czxghmh29aw2ldynk8r9lnkfccw5ph8rjpxa,4000000000000,investors.genesis,investors
14,bostrom1s4wntr9selfaznc2ezjkwnwt2y0terx9tqpda3,1000000000000,investors.genesis,investors
15,bostrom1qwzsnnuk2u6avvh059c9p50gqqquvcu5svvwrs,4000000000000,investors.genesis,investors
16,bostrom1g07gj9ph0r2hjx6ffqn8vl38u4agd5mpqx9m7f,4000000000000,investors.genesis,investors
17,bostrom10e3rqclgjz4m4fnx2c23jupcjpyuvyx3x4k7qj,1000000000000,investors.genesis,investors
18,bostrom1t3222ju7ssu58xsm3m2xw445p94cqn2qrex3vy,2000000000000,investors.genesis,investors
19,bostrom1edlrze5f48jjaw0wxcve4asqqf2tcjdl59ln8q,2000000000000,investors.genesis,investors
20,bostrom1m8yf3g2m9p7danjvt4ga6vzewy380pk52kcu9z,4000000000000,investors.genesis,investors
21,bostrom1fe5mspz9jsq6p9hqqet86dwp276635l6gacspa,1000000000000,investors.genesis,investors
22,bostrom14nzyt8wmx4g6zkeluelukamgsh5v4xgnc25k6j,400000000000,investors.genesis,investors
23,bostrom1mcslqq8ghtuf6xu987qtk64shy6rd86a2xtwu8,400000000000,investors.genesis,investors
24,bostrom1sng0f47cuvx6edxaujh24wc3dvk94q0w6r6smh,400000000000,investors.genesis,investors
25,bostrom194pp2whvqynxnfyw5tqy8fzy2kxsugyrwsaynk,1000000000000,investors.genesis,investors
26,bostrom10c8znaj94y900syues06dz50hw6y9qpkhunn25,400000000000,investors.genesis,investors
27,bostrom14d92r4svhl4qa3g6q48tjekarw2kt67ngqn4lr,40000000000,investors.genesis,investors
