,subject,reward,audience
0,cyber1qn8sr2hzmktlecusdtxj9hwj0upnm0jf0arg27,4887205664742.0,investors
1,cyber1s3lgc3mgy4ltwr796qk6j73xmau4njuefguqlp,1340337491769.0,investors
2,cyber10556xtnp39nvx3ec3yjafug662pyt6afrdqwfr,1304153455839.0,investors
3,cyber1ffve0zx389ffl80ae9t8jmghcjuzdlqrspwl7s,701778551659.0,investors
4,cyber1ftah3e558ww7xutn5w8h7vrqa9v69pntxnqcxu,622444466499.0,investors
5,cyber1wnpak7sfawsfv9c8vqe7naxfa4g99lv764drcl,469321209467.0,investors
6,cyber1sgy27lctdrc5egpvc8f02rgzml6hmmvhsk0p3t,359172486938.0,investors
7,cyber1cg79pj70mgl8xlum0rw5yy6enk9jszsrx5al8w,278433789365.0,investors
8,cyber13dpy00jest96g7h5vdgvg9zpxq6xnclhs034rz,258229369437.0,investors
9,cyber1mdq5r6az6z8su68zj6px88j2ukr78ea4vs9eu8,237448433882.0,investors
10,cyber1lepnu7nt05g79jtmfp2pgrpys3fjc4p73gt5gh,182911039870.0,investors
11,cyber1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxfyfq5a,157995617348.0,investors
12,cyber16jttzjgks48kqrhk5e68yv0gv6dt0rpww386ew,141302079887.0,investors
13,cyber1e20hw2pqcgxvumkwn2qeeavcrswzskzjnmexhj,119453574443.0,investors
14,cyber14nzyt8wmx4g6zkeluelukamgsh5v4xgnuj8dd0,108729659282.0,investors
15,cyber17z2fywzrdld7qmwzpsq0atxfwcns8rp84fsn3e,95223358775.0,investors
16,cyber1tu0e0ggvjtv4gvzcranjnrykac0umnf8ql6qc7,92010985676.0,investors
17,cyber1sltcfypwms38jjj3g38rg7ldx3e6uqrz8t9jje,91965450766.0,investors
18,cyber1sng0f47cuvx6edxaujh24wc3dvk94q0w7mftv2,74217807211.0,investors
19,cyber1zy553za8nenzukmv65240323jhuvxzym3evpec,72024951997.0,investors
20,cyber1lpfs6xv765u4yxr8rlyn5ux0g2a8tyt9t0rg2d,59256843788.0,investors
21,cyber1smqr5tp684g07aekcn0w852wqlme5mn6frrgnv,47098839942.0,investors
22,cyber1eqkdzfcjnu20ywju35rf3nutxzjxjaqnzc6lnl,44081312892.0,investors
23,cyber1waac73cpffx7suhpkvnn8w0a8s2cgzn677expq,42415701749.0,investors
24,cyber16macu2qtc0jmqc7txvf0wkz84cycsx72r9y539,42201602776.0,investors
25,cyber1fapqgamx3c8za8d3z56sydjtjygyu0ly6vefs4,37850807372.0,investors
26,cyber1w4548vrnvc7t9j2ly55nvkjvhwqt9thndql8e8,33395512349.0,investors
27,cyber133t8m00w7llsslnf05zdhehharntly8dy6jj86,31992273571.0,investors
28,cyber1smtmk8fe3qhlwj3h7nynl6p42946qydzgsp7mq,29390986364.0,investors
29,cyber1csf3up94qheqz88fvvlwjl7vc5sdymarjnshkn,18442151620.0,investors
30,cyber1tr3eyy9l480pxjk0ygudwpfus7j8pgdlktu79x,17537519175.0,investors
31,cyber16ahkkv0jzhtp73z83qlhqrypss6jpjm8ap96e3,17375703563.0,investors
32,cyber1htq7u8gy9muv4fk6st04524tdzy8rv04sj5nnd,16744189104.0,investors
33,cyber1kk9clwd4eva7ww95gn4rw3xzuwfs0983588rek,16191669541.0,investors
34,cyber1k7cl9ya9qq30c7m4rvg3823hrc8k80ee0clv96,14797976623.0,investors
35,cyber16d69u47km5vqdvf6fr8qyhktlacgka7ff5we56,14751375909.0,investors
36,cyber1njsr8tngxtygsc73mrtn5738ztkzqy7c6udvxk,14737589328.0,investors
37,cyber1kf0d64nuwsf2zeul5wkx78fsznplnlpsd0djhn,11673069511.0,investors
38,cyber18ghjkwygsvjcsh20tc5zzhfttxxuex7ap8nukd,9561458741.0,investors
39,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,9246030793.0,investors
40,cyber1679yrs8dmska7wcsawgy2m25kwucm3z0nks9ze,4225275377.0,investors
41,cyber15gk8edxtvvp372flljk884fav55y8ehw8yx8sn,2279889403.0,investors
42,cyber1jz57cgfr248y9w6sn76l7pugjkr6e7zh7uen5u,2178739020.0,investors
43,cyber1gw5kdey7fs9wdh05w66s0h4s24tjdvtcp5fhky,1755881840.0,investors
44,cyber1kajt7sxfpnfujm7ptj90654lmwz4sftpuag6jq,1743792737.0,investors
45,cyber1t575qeee3qgshuf964qal057z77vljqedacy0t,1099995800.0,investors
46,cyber105zy26ze9gean4qukqlvhkv4mtcndc9tw7wl6l,1006206924.0,investors
47,cyber1a30w6j4m6g3s2c6zt02z56xynnuaqmn3e0aata,774688373.0,investors
48,cyber1pmaltcu0x97x8j5klc8xluaapkzcvztchjldvn,734384390.0,investors
49,cyber1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4ck2hrl,704276829.0,investors
50,cyber1u3ap2d4ytcqrr6jlsjf380g3lvgldq4m7dr964,673130864.0,investors
51,cyber1keny4peq77drtcdj6fscd9eknqcqyjmxyqsuu6,647527281.0,investors
52,cyber1kk79xcsuah7ckvunku78094gyh7900ehj8vdt7,173703544.0,investors
53,cyber137eezcxcyqgt6kshfdfuvnsdgwpujyjew85m6l,73708712.0,investors
54,cyber1uz39kh64w8p5df034fh6g5hwpdq8m0h5878uqy,49997750.0,investors
55,cyber1kz6s2mp4rg7plj8p4qqe2wkegn4ldw3ajjw9h9,233827.0,investors
